Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 11,CN1CCN(CC1)C1=Nc2ccccc2Nc2c1cc(s2)C,C17H20N4S,312.43,22,11,0.35,1,2,1,107.89,59.11,3.04,2.86,1.92,2.88,3.83,2.91,-3.88,4.09e-02,1.31e-04,Soluble,-3.76,5.43e-02,1.74e-04,Soluble,-5.08,2.60e-03,8.32e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.18,0,0,0,0,0,0.55,0,0,0,3.86
Molecule 12,CN1CCN(CC1)C1=Nc2ccccc2Oc2c1cc(Cl)cc2,C18H18ClN3O,327.81,23,12,0.28,1,3,0,104.09,28.07,3.30,3.22,2.63,3.58,3.63,3.27,-4.22,1.97e-02,6.01e-05,Moderately soluble,-3.48,1.08e-01,3.30e-04,Soluble,-5.72,6.25e-04,1.91e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,No,-6.01,0,0,0,0,0,0.55,0,0,0,3.67
Molecule 13,Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)n1c(=O)[nH]c2c1cccc2,C22H22FN3O2,379.43,28,15,0.27,6,4,1,112.16,58.10,3.29,3.50,3.72,3.10,4.17,3.56,-4.40,1.52e-02,4.00e-05,Moderately soluble,-4.40,1.50e-02,3.95e-05,Moderately soluble,-6.37,1.63e-04,4.31e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.13,0,0,0,0,0,0.55,0,0,1,3.34
Molecule 14,CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,C20H24ClN3S,373.94,25,12,0.40,4,2,0,118.11,35.02,3.99,4.88,3.44,4.15,3.85,4.06,-5.32,1.77e-03,4.74e-06,Moderately soluble,-5.35,1.67e-03,4.46e-06,Moderately soluble,-6.30,1.89e-04,5.05e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.12,0,0,0,0,0,0.55,0,0,2,3.40
Molecule 15,Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2,C23H27FN4O2,410.48,30,15,0.52,4,6,0,117.71,64.16,4.08,2.72,3.63,3.19,4.48,3.62,-4.20,2.56e-02,6.24e-05,Moderately soluble,-3.72,7.80e-02,1.90e-04,Soluble,-6.76,7.13e-05,1.74e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.87,0,0,0,0,0,0.55,0,0,1,3.82
Molecule 16,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,C22H26F3N3OS,437.52,30,12,0.45,7,6,1,124.07,55.25,3.83,4.36,4.32,3.57,4.05,4.03,-5.13,3.22e-03,7.35e-06,Moderately soluble,-5.24,2.54e-03,5.81e-06,Moderately soluble,-6.36,1.91e-04,4.38e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,No,-5.87,0,0,0,0,0,0.55,0,0,2,3.58
Molecule 17,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2,C18H19ClN4,326.82,23,12,0.28,1,2,1,110.05,30.87,2.83,3.23,2.20,3.31,3.31,2.98,-4.22,1.96e-02,6.01e-05,Moderately soluble,-3.55,9.18e-02,2.81e-04,Soluble,-6.03,3.04e-04,9.31e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.00,0,0,0,0,0,0.55,0,0,0,3.69
Molecule 18,COc1cc(ccc1OCCCN1CCC(CC1)c1noc2c1ccc(c2)F)C(=O)C,C24H27FN2O4,426.48,31,15,0.42,8,7,0,119.98,64.80,4.25,4.10,4.87,2.72,5.08,4.20,-4.90,5.40e-03,1.27e-05,Moderately soluble,-5.17,2.91e-03,6.81e-06,Moderately soluble,-7.52,1.28e-05,3.01e-08,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.99,0,0,0,0,0,0.55,0,0,3,3.55
Molecule 19,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)cccc1,C21H26N2S2,370.57,25,12,0.43,4,1,0,118.01,57.08,4.03,5.90,5.12,5.03,4.56,4.93,-5.95,4.20e-04,1.13e-06,Moderately soluble,-6.87,4.97e-05,1.34e-07,Poorly soluble,-6.49,1.20e-04,3.25e-07,Poorly soluble,High,Yes,Yes,Yes,No,Yes,Yes,No,-4.37,1,0,0,0,1,0.55,0,0,2,4.06
Molecule 20,CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,C17H19ClN2S,318.86,21,12,0.29,4,1,0,95.08,31.78,3.47,5.19,4.51,4.35,3.94,4.29,-5.25,1.81e-03,5.68e-06,Moderately soluble,-5.60,7.93e-04,2.49e-06,Moderately soluble,-6.28,1.69e-04,5.31e-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-4.56,1,0,0,0,1,0.55,0,0,1,3.12
Molecule 21,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2c1cccc2,C21H25N3O2S,383.51,27,12,0.38,6,4,1,119.80,73.60,3.49,2.14,1.71,2.93,3.60,2.77,-3.50,1.22e-01,3.17e-04,Soluble,-3.32,1.85e-01,4.81e-04,Soluble,-5.83,5.65e-04,1.47e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-7.12,0,0,0,0,0,0.55,0,0,1,3.90
